variable,field,Y2000,Y2010,district
Population,White Nonhispanic,16776,14777,45
Population,Black Nonhispanic,116388,106847,45
Population,Asian and Pacific Islander Nonhispanic,3607,4254,45
Population,Other Nonhispanic,1141,1076,45
Population,Two or More Races Nonhispanic,4200,2341,45
Population,Hispanic Origin,10414,11138,45
Population,Female,84208,77676,45
Population,Male,68318,62757,45
Population,Under 5 years,10791,8652,45
Population,5 to 9 years,11800,8566,45
Population,10 to 14 years,11826,9306,45
Population,15 to 19 years,11746,10233,45
Population,20 to 24 years,11251,10457,45
Population,25 to 44 years,45201,37842,45
Population,45 to 64 years,35481,37991,45
Population,65 years and over,14430,17386,45
Population,18 years and over,110872,107806,45
Population,In households,152312,140182,45
Population,In households_In family households,135954,122319,45
Population,In households_In family households_Householder,37498,34333,45
Population,In households_In family households_Spouse,19339,16716,45
Population,In households_In family households_Own child under 18 years,33593,24981,45
Population,In households_In family households_Other relatives,40478,41972,45
Population,In households_In family households_Nonrelatives,5046,4317,45
Population,In households_In nonfamily households,16358,17863,45
Population,In households_In nonfamily households_Householder,13518,14769,45
Population,In households_In nonfamily households_Householder 65 years and over living alone,3236,3879,45
Population,In households_In nonfamily households_Nonrelatives,2840,3094,45
Population,In group quarters_In nonfamily households,214,251,45
Households,In group quarters_In nonfamily households,51016,49102,45
Households,Family households_In nonfamily households,37498,34333,45
Households,Family households_Married-couple family,19339,16716,45
Households,Family households_Married-couple family_With related children under 18 years,10787,8198,45
Households,"Family households_Female householder, no husband present",14872,14195,45
Households,"Family households_Female householder, no husband present_With related children under 18 years",9847,8116,45
Households,"Family households_Male householder, no wife present",3287,3422,45
Households,"Family households_Male householder, no wife present_With related children under 18 years",1691,1568,45
Households,"Nonfamily households_Male householder, no wife present",13518,14769,45
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",11540,13635,45
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.4910661901968103,3.4369848250953887,45
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.9855731535204644,2.854914260111604,45
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",53384,52251,45
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",51016,49102,45
Housing Units,"Renter occupied_Male householder, no wife present",31984,31114,45
Housing Units,"Owner occupied_Male householder, no wife present",19032,17988,45
Housing Units,Owner occupied_1  person household,11410,12487,45
Housing Units,Owner occupied_2  person household,12529,12673,45
Housing Units,Owner occupied_3  person household,10075,9244,45
Housing Units,Owner occupied_4  person household,7876,6649,45
Housing Units,Owner occupied_5 persons and over,9126,8049,45
Housing Units,Householder Age - Owner occupied_15 to 24 years,1871,1286,45
Housing Units,Householder Age - Owner occupied_25 to 44 years,20144,15340,45
Housing Units,Householder Age - Owner occupied_45 to 64 years,20685,21925,45
Housing Units,Householder Age - Owner occupied_65 years and over,8316,10551,45
Population,White Nonhispanic,86999,70577,46
Population,Black Nonhispanic,54142,69955,46
Population,Asian and Pacific Islander Nonhispanic,8563,10319,46
Population,Other Nonhispanic,711,781,46
Population,Two or More Races Nonhispanic,3067,2282,46
Population,Hispanic Origin,10482,11765,46
Population,Female,87506,89543,46
Population,Male,76458,76136,46
Population,Under 5 years,10485,9750,46
Population,5 to 9 years,11373,10221,46
Population,10 to 14 years,11653,10554,46
Population,15 to 19 years,10809,11396,46
Population,20 to 24 years,9993,11093,46
Population,25 to 44 years,48463,42175,46
Population,45 to 64 years,38884,48341,46
Population,65 years and over,22304,22149,46
Population,18 years and over,123651,128216,46
Population,In households,162817,164851,46
Population,In households_In family households,145428,146113,46
Population,In households_In family households_Householder,43149,42423,46
Population,In households_In family households_Spouse,30220,27750,46
Population,In households_In family households_Own child under 18 years,36119,32111,46
Population,In households_In family households_Other relatives,32753,40012,46
Population,In households_In family households_Nonrelatives,3187,3817,46
Population,In households_In nonfamily households,17389,18738,46
Population,In households_In nonfamily households_Householder,15093,16252,46
Population,In households_In nonfamily households_Householder 65 years and over living alone,5404,5647,46
Population,In households_In nonfamily households_Nonrelatives,2296,2486,46
Population,In group quarters_In nonfamily households,1147,828,46
Households,In group quarters_In nonfamily households,58242,58675,46
Households,Family households_In nonfamily households,43149,42423,46
Households,Family households_Married-couple family,30220,27750,46
Households,Family households_Married-couple family_With related children under 18 years,15086,13158,46
Households,"Family households_Female householder, no husband present",10003,11423,46
Households,"Family households_Female householder, no husband present_With related children under 18 years",5779,6159,46
Households,"Family households_Male householder, no wife present",2926,3250,46
Households,"Family households_Male householder, no wife present_With related children under 18 years",1207,1387,46
Households,"Nonfamily households_Male householder, no wife present",15093,16252,46
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",16331,16946,46
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.2965074509258616,3.3542182306767554,46
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.7955255657429348,2.809561141883256,46
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",61009,64476,46
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",58242,58675,46
Housing Units,"Renter occupied_Male householder, no wife present",21681,21773,46
Housing Units,"Owner occupied_Male householder, no wife present",36561,36902,46
Housing Units,Owner occupied_1  person household,13242,14295,46
Housing Units,Owner occupied_2  person household,16338,15680,46
Housing Units,Owner occupied_3  person household,11145,11056,46
Housing Units,Owner occupied_4  person household,9537,9065,46
Housing Units,Owner occupied_5 persons and over,7980,8579,46
Housing Units,Householder Age - Owner occupied_15 to 24 years,1324,973,46
Housing Units,Householder Age - Owner occupied_25 to 44 years,22094,17368,46
Housing Units,Householder Age - Owner occupied_45 to 64 years,21656,27216,46
Housing Units,Householder Age - Owner occupied_65 years and over,13168,13118,46
Population,White Nonhispanic,99006,91479,47
Population,Black Nonhispanic,16780,13876,47
Population,Asian and Pacific Islander Nonhispanic,20771,31383,47
Population,Other Nonhispanic,491,473,47
Population,Two or More Races Nonhispanic,3936,1949,47
Population,Hispanic Origin,19039,22654,47
Population,Female,85044,85589,47
Population,Male,74979,76225,47
Population,Under 5 years,9272,9447,47
Population,5 to 9 years,10172,8903,47
Population,10 to 14 years,10373,9059,47
Population,15 to 19 years,10161,10294,47
Population,20 to 24 years,9955,11175,47
Population,25 to 44 years,43043,40612,47
Population,45 to 64 years,37098,43210,47
Population,65 years and over,29949,29114,47
Population,18 years and over,124064,128243,47
Population,In households,157518,159745,47
Population,In households_In family households,134910,135166,47
Population,In households_In family households_Householder,41179,40685,47
Population,In households_In family households_Spouse,28398,27275,47
Population,In households_In family households_Own child under 18 years,31755,29428,47
Population,In households_In family households_Other relatives,30804,34794,47
Population,In households_In family households_Nonrelatives,2774,2984,47
Population,In households_In nonfamily households,22608,24579,47
Population,In households_In nonfamily households_Householder,20171,21411,47
Population,In households_In nonfamily households_Householder 65 years and over living alone,9574,9435,47
Population,In households_In nonfamily households_Nonrelatives,2437,3168,47
Population,In group quarters_In nonfamily households,2505,2069,47
Households,In group quarters_In nonfamily households,61350,62096,47
Households,Family households_In nonfamily households,41179,40685,47
Households,Family households_Married-couple family,28398,27275,47
Households,Family households_Married-couple family_With related children under 18 years,12322,11557,47
Households,"Family households_Female householder, no husband present",9951,10056,47
Households,"Family households_Female householder, no husband present_With related children under 18 years",5794,5128,47
Households,"Family households_Male householder, no wife present",2830,3354,47
Households,"Family households_Male householder, no wife present_With related children under 18 years",987,1223,47
Households,"Nonfamily households_Male householder, no wife present",20171,21411,47
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",21817,21696,47
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.2088200296267515,3.2489123755683917,47
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.5675305623471885,2.572548956454522,47
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",63723,68005,47
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",61350,62096,47
Housing Units,"Renter occupied_Male householder, no wife present",43799,42697,47
Housing Units,"Owner occupied_Male householder, no wife present",17551,19399,47
Housing Units,Owner occupied_1  person household,18320,18976,47
Housing Units,Owner occupied_2  person household,17743,18205,47
Housing Units,Owner occupied_3  person household,10575,9988,47
Housing Units,Owner occupied_4  person household,7757,7511,47
Housing Units,Owner occupied_5 persons and over,6955,7416,47
Housing Units,Householder Age - Owner occupied_15 to 24 years,1635,1648,47
Housing Units,Householder Age - Owner occupied_25 to 44 years,19809,17796,47
Housing Units,Householder Age - Owner occupied_45 to 64 years,20875,24175,47
Housing Units,Householder Age - Owner occupied_65 years and over,19031,18477,47
Population,White Nonhispanic,115690,112555,48
Population,Black Nonhispanic,5715,5788,48
Population,Asian and Pacific Islander Nonhispanic,20741,22667,48
Population,Other Nonhispanic,581,605,48
Population,Two or More Races Nonhispanic,4054,2084,48
Population,Hispanic Origin,13229,14387,48
Population,Female,83578,82777,48
Population,Male,76432,75309,48
Population,Under 5 years,9341,9492,48
Population,5 to 9 years,9880,8763,48
Population,10 to 14 years,10482,8820,48
Population,15 to 19 years,10089,9996,48
Population,20 to 24 years,10233,11186,48
Population,25 to 44 years,42154,39256,48
Population,45 to 64 years,37670,42664,48
Population,65 years and over,30161,27909,48
Population,18 years and over,124158,125000,48
Population,In households,158308,156921,48
Population,In households_In family households,133795,130415,48
Population,In households_In family households_Householder,40362,39489,48
Population,In households_In family households_Spouse,30602,29171,48
Population,In households_In family households_Own child under 18 years,32720,30207,48
Population,In households_In family households_Other relatives,27669,29190,48
Population,In households_In family households_Nonrelatives,2442,2358,48
Population,In households_In nonfamily households,24513,26506,48
Population,In households_In nonfamily households_Householder,21266,22646,48
Population,In households_In nonfamily households_Householder 65 years and over living alone,10045,9698,48
Population,In households_In nonfamily households_Nonrelatives,3247,3860,48
Population,In group quarters_In nonfamily households,1702,1165,48
Households,In group quarters_In nonfamily households,61628,62135,48
Households,Family households_In nonfamily households,40362,39489,48
Households,Family households_Married-couple family,30602,29171,48
Households,Family households_Married-couple family_With related children under 18 years,14076,12471,48
Households,"Family households_Female householder, no husband present",7162,7576,48
Households,"Family households_Female householder, no husband present_With related children under 18 years",3541,3503,48
Households,"Family households_Male householder, no wife present",2598,2742,48
Households,"Family households_Male householder, no wife present_With related children under 18 years",839,921,48
Households,"Nonfamily households_Male householder, no wife present",21266,22646,48
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",22489,21052,48
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.254372925028492,3.2428524399199774,48
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.5687674433698966,2.5254848314154663,48
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",63898,68956,48
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",61628,62135,48
Housing Units,"Renter occupied_Male householder, no wife present",43558,42226,48
Housing Units,"Owner occupied_Male householder, no wife present",18070,19909,48
Housing Units,Owner occupied_1  person household,18915,19746,48
Housing Units,Owner occupied_2  person household,18124,18728,48
Housing Units,Owner occupied_3  person household,10007,9769,48
Housing Units,Owner occupied_4  person household,7258,6849,48
Housing Units,Owner occupied_5 persons and over,7324,7043,48
Housing Units,Householder Age - Owner occupied_15 to 24 years,1741,1780,48
Housing Units,Householder Age - Owner occupied_25 to 44 years,19075,17749,48
Housing Units,Householder Age - Owner occupied_45 to 64 years,21181,24236,48
Housing Units,Householder Age - Owner occupied_65 years and over,19631,18370,48
Population,White Nonhispanic,75531,64074,49
Population,Black Nonhispanic,35692,39171,49
Population,Asian and Pacific Islander Nonhispanic,8994,13163,49
Population,Other Nonhispanic,843,939,49
Population,Two or More Races Nonhispanic,4438,3408,49
Population,Hispanic Origin,32118,49608,49
Population,Female,82173,87935,49
Population,Male,75443,82428,49
Population,Under 5 years,11671,11832,49
Population,5 to 9 years,12903,12079,49
Population,10 to 14 years,12378,12119,49
Population,15 to 19 years,11436,13399,49
Population,20 to 24 years,10265,12929,49
Population,25 to 44 years,48891,46762,49
Population,45 to 64 years,32391,43202,49
Population,65 years and over,17681,18041,49
Population,18 years and over,113766,126486,49
Population,In households,152202,165681,49
Population,In households_In family households,130810,142722,49
Population,In households_In family households_Householder,37367,39589,49
Population,In households_In family households_Spouse,23876,24396,49
Population,In households_In family households_Own child under 18 years,38417,37801,49
Population,In households_In family households_Other relatives,27080,35960,49
Population,In households_In family households_Nonrelatives,4070,4976,49
Population,In households_In nonfamily households,21392,22959,49
Population,In households_In nonfamily households_Householder,17553,18589,49
Population,In households_In nonfamily households_Householder 65 years and over living alone,4907,5204,49
Population,In households_In nonfamily households_Nonrelatives,3839,4370,49
Population,In group quarters_In nonfamily households,5414,4682,49
Households,In group quarters_In nonfamily households,54920,58178,49
Households,Family households_In nonfamily households,37367,39589,49
Households,Family households_Married-couple family,23876,24396,49
Households,Family households_Married-couple family_With related children under 18 years,12892,12870,49
Households,"Family households_Female householder, no husband present",10687,11720,49
Households,"Family households_Female householder, no husband present_With related children under 18 years",7425,7596,49
Households,"Family households_Male householder, no wife present",2804,3473,49
Households,"Family households_Male householder, no wife present_With related children under 18 years",1358,1705,49
Households,"Nonfamily households_Male householder, no wife present",17553,18589,49
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",12209,13218,49
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.391762785345358,3.479400843668696,49
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.7713401310997816,2.847829076283131,49
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",58490,62795,49
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",54920,58178,49
Housing Units,"Renter occupied_Male householder, no wife present",27394,29028,49
Housing Units,"Owner occupied_Male householder, no wife present",27526,29150,49
Housing Units,Owner occupied_1  person household,14716,15357,49
Housing Units,Owner occupied_2  person household,14315,14701,49
Housing Units,Owner occupied_3  person household,9522,9966,49
Housing Units,Owner occupied_4  person household,8347,8732,49
Housing Units,Owner occupied_5 persons and over,8020,9422,49
Housing Units,Householder Age - Owner occupied_15 to 24 years,1978,1644,49
Housing Units,Householder Age - Owner occupied_25 to 44 years,24025,20985,49
Housing Units,Householder Age - Owner occupied_45 to 64 years,18716,24732,49
Housing Units,Householder Age - Owner occupied_65 years and over,10201,10817,49
Population,White Nonhispanic,126690,125465,5
Population,Black Nonhispanic,5024,5310,5
Population,Asian and Pacific Islander Nonhispanic,11137,15826,5
Population,Other Nonhispanic,554,590,5
Population,Two or More Races Nonhispanic,2529,3043,5
Population,Hispanic Origin,8966,11035,5
Population,Female,85410,89761,5
Population,Male,69490,71508,5
Population,Under 5 years,6296,7953,5
Population,5 to 9 years,4004,5199,5
Population,10 to 14 years,3339,4035,5
Population,15 to 19 years,3103,3719,5
Population,20 to 24 years,9660,10381,5
Population,25 to 44 years,69078,65394,5
Population,45 to 64 years,38657,38986,5
Population,65 years and over,20763,25602,5
Population,18 years and over,139427,141905,5
Population,In households,151046,156270,5
Population,In households_In family households,75764,83756,5
Population,In households_In family households_Householder,29275,31157,5
Population,In households_In family households_Spouse,24362,26180,5
Population,In households_In family households_Own child under 18 years,15026,18938,5
Population,In households_In family households_Other relatives,6211,6730,5
Population,In households_In family households_Nonrelatives,890,751,5
Population,In households_In nonfamily households,75282,72514,5
Population,In households_In nonfamily households_Householder,63481,60242,5
Population,In households_In nonfamily households_Householder 65 years and over living alone,9364,11564,5
Population,In households_In nonfamily households_Nonrelatives,11801,12272,5
Population,In group quarters_In nonfamily households,3854,4999,5
Households,In group quarters_In nonfamily households,92756,91399,5
Households,Family households_In nonfamily households,29275,31157,5
Households,Family households_Married-couple family,24362,26180,5
Households,Family households_Married-couple family_With related children under 18 years,8027,9929,5
Households,"Family households_Female householder, no husband present",3734,3754,5
Households,"Family households_Female householder, no husband present_With related children under 18 years",1712,1734,5
Households,"Family households_Male householder, no wife present",1179,1223,5
Households,"Family households_Male householder, no wife present_With related children under 18 years",378,462,5
Households,"Nonfamily households_Male householder, no wife present",63481,60242,5
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",15795,19621,5
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",2.557608881298036,2.6640883268607376,5
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",1.6284229591616717,1.709756124246436,5
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",100075,102750,5
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",92756,91399,5
Housing Units,"Renter occupied_Male householder, no wife present",67865,63515,5
Housing Units,"Owner occupied_Male householder, no wife present",24891,27884,5
Housing Units,Owner occupied_1  person household,53101,49442,5
Housing Units,Owner occupied_2  person household,27667,27574,5
Housing Units,Owner occupied_3  person household,6986,7825,5
Housing Units,Owner occupied_4  person household,3780,5041,5
Housing Units,Owner occupied_5 persons and over,1222,1517,5
Housing Units,Householder Age - Owner occupied_15 to 24 years,4783,4825,5
Housing Units,Householder Age - Owner occupied_25 to 44 years,46349,41770,5
Housing Units,Householder Age - Owner occupied_45 to 64 years,26826,26439,5
Housing Units,Householder Age - Owner occupied_65 years and over,14798,18365,5
Population,White Nonhispanic,118083,110689,50
Population,Black Nonhispanic,3083,3652,50
Population,Asian and Pacific Islander Nonhispanic,11925,18272,50
Population,Other Nonhispanic,433,564,50
Population,Two or More Races Nonhispanic,2570,2046,50
Population,Hispanic Origin,13808,20314,50
Population,Female,77833,80487,50
Population,Male,72069,75050,50
Population,Under 5 years,9138,8654,50
Population,5 to 9 years,9866,8991,50
Population,10 to 14 years,9817,9288,50
Population,15 to 19 years,8897,9828,50
Population,20 to 24 years,8857,9825,50
Population,25 to 44 years,45059,40726,50
Population,45 to 64 years,36874,44930,50
Population,65 years and over,21394,23295,50
Population,18 years and over,115476,122501,50
Population,In households,147318,153393,50
Population,In households_In family households,130373,135085,50
Population,In households_In family households_Householder,39722,40502,50
Population,In households_In family households_Spouse,31098,30884,50
Population,In households_In family households_Own child under 18 years,31926,30087,50
Population,In households_In family households_Other relatives,25689,31172,50
Population,In households_In family households_Nonrelatives,1938,2440,50
Population,In households_In nonfamily households,16945,18308,50
Population,In households_In nonfamily households_Householder,14665,15584,50
Population,In households_In nonfamily households_Householder 65 years and over living alone,5404,5607,50
Population,In households_In nonfamily households_Nonrelatives,2280,2724,50
Population,In group quarters_In nonfamily households,2584,2144,50
Households,In group quarters_In nonfamily households,54387,56086,50
Households,Family households_In nonfamily households,39722,40502,50
Households,Family households_Married-couple family,31098,30884,50
Households,Family households_Married-couple family_With related children under 18 years,15035,14042,50
Households,"Family households_Female householder, no husband present",6425,7039,50
Households,"Family households_Female householder, no husband present_With related children under 18 years",3132,3315,50
Households,"Family households_Male householder, no wife present",2199,2579,50
Households,"Family households_Male householder, no wife present_With related children under 18 years",810,1029,50
Households,"Nonfamily households_Male householder, no wife present",14665,15584,50
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",15144,16733,50
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.2333467599818735,3.2750234556318207,50
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.7086987699266367,2.7349605962272223,50
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",56503,59794,50
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",54387,56086,50
Housing Units,"Renter occupied_Male householder, no wife present",19950,19922,50
Housing Units,"Owner occupied_Male householder, no wife present",34437,36164,50
Housing Units,Owner occupied_1  person household,12821,13373,50
Housing Units,Owner occupied_2  person household,15735,16212,50
Housing Units,Owner occupied_3  person household,10075,10176,50
Housing Units,Owner occupied_4  person household,9350,9233,50
Housing Units,Owner occupied_5 persons and over,6406,7092,50
Housing Units,Householder Age - Owner occupied_15 to 24 years,1186,943,50
Housing Units,Householder Age - Owner occupied_25 to 44 years,20241,17049,50
Housing Units,Householder Age - Owner occupied_45 to 64 years,20227,24502,50
Housing Units,Householder Age - Owner occupied_65 years and over,12733,13592,50
Population,White Nonhispanic,132013,132876,51
Population,Black Nonhispanic,1431,1766,51
Population,Asian and Pacific Islander Nonhispanic,6677,8082,51
Population,Other Nonhispanic,220,306,51
Population,Two or More Races Nonhispanic,1222,1364,51
Population,Hispanic Origin,9091,13512,51
Population,Female,76667,80640,51
Population,Male,73987,77266,51
Population,Under 5 years,9849,8811,51
Population,5 to 9 years,11052,9865,51
Population,10 to 14 years,10876,10183,51
Population,15 to 19 years,9687,10502,51
Population,20 to 24 years,8765,9746,51
Population,25 to 44 years,47930,42553,51
Population,45 to 64 years,37757,46132,51
Population,65 years and over,14738,20114,51
Population,18 years and over,112627,122474,51
Population,In households,149182,156693,51
Population,In households_In family households,135795,140040,51
Population,In households_In family households_Householder,40698,42154,51
Population,In households_In family households_Spouse,33692,33684,51
Population,In households_In family households_Own child under 18 years,36204,33044,51
Population,In households_In family households_Other relatives,23739,29238,51
Population,In households_In family households_Nonrelatives,1462,1920,51
Population,In households_In nonfamily households,13387,16653,51
Population,In households_In nonfamily households_Householder,11693,14493,51
Population,In households_In nonfamily households_Householder 65 years and over living alone,3488,4690,51
Population,In households_In nonfamily households_Nonrelatives,1694,2160,51
Population,In group quarters_In nonfamily households,1472,1213,51
Households,In group quarters_In nonfamily households,52391,56647,51
Households,Family households_In nonfamily households,40698,42154,51
Households,Family households_Married-couple family,33692,33684,51
Households,Family households_Married-couple family_With related children under 18 years,17493,15840,51
Households,"Family households_Female householder, no husband present",5228,6199,51
Households,"Family households_Female householder, no husband present_With related children under 18 years",2643,2928,51
Households,"Family households_Male householder, no wife present",1778,2271,51
Households,"Family households_Male householder, no wife present_With related children under 18 years",752,910,51
Households,"Nonfamily households_Male householder, no wife present",11693,14493,51
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",11096,14996,51
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.3007273084672466,3.2765573848270626,51
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.847473802752381,2.766130598266457,51
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",54559,60135,51
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",52391,56647,51
Housing Units,"Renter occupied_Male householder, no wife present",12823,13754,51
Housing Units,"Owner occupied_Male householder, no wife present",39568,42893,51
Housing Units,Owner occupied_1  person household,10226,12690,51
Housing Units,Owner occupied_2  person household,14315,15839,51
Housing Units,Owner occupied_3  person household,10454,10479,51
Housing Units,Owner occupied_4  person household,10678,10704,51
Housing Units,Owner occupied_5 persons and over,6718,6935,51
Housing Units,Householder Age - Owner occupied_15 to 24 years,893,719,51
Housing Units,Householder Age - Owner occupied_25 to 44 years,21603,18220,51
Housing Units,Householder Age - Owner occupied_45 to 64 years,21050,25478,51
Housing Units,Householder Age - Owner occupied_65 years and over,8845,12230,51
Population,White Nonhispanic,118298,118086,6
Population,Black Nonhispanic,9777,9473,6
Population,Asian and Pacific Islander Nonhispanic,9747,13901,6
Population,Other Nonhispanic,742,660,6
Population,Two or More Races Nonhispanic,2890,3159,6
Population,Hispanic Origin,18755,18541,6
Population,Female,84711,87584,6
Population,Male,75498,76236,6
Population,Under 5 years,6980,8985,6
Population,5 to 9 years,5076,5903,6
Population,10 to 14 years,4284,4842,6
Population,15 to 19 years,4287,5002,6
Population,20 to 24 years,8146,8113,6
Population,25 to 44 years,68774,59562,6
Population,45 to 64 years,40966,44246,6
Population,65 years and over,21696,27167,6
Population,18 years and over,141479,141199,6
Population,In households,157099,158649,6
Population,In households_In family households,84177,93020,6
Population,In households_In family households_Householder,31201,33637,6
Population,In households_In family households_Spouse,24345,26914,6
Population,In households_In family households_Own child under 18 years,17259,21376,6
Population,In households_In family households_Other relatives,10025,9931,6
Population,In households_In family households_Nonrelatives,1347,1162,6
Population,In households_In nonfamily households,72922,65629,6
Population,In households_In nonfamily households_Householder,61395,55032,6
Population,In households_In nonfamily households_Householder 65 years and over living alone,10497,12452,6
Population,In households_In nonfamily households_Nonrelatives,11527,10597,6
Population,In group quarters_In nonfamily households,3110,5171,6
Households,In group quarters_In nonfamily households,92596,88669,6
Households,Family households_In nonfamily households,31201,33637,6
Households,Family households_Married-couple family,24345,26914,6
Households,Family households_Married-couple family_With related children under 18 years,8675,10661,6
Households,"Family households_Female householder, no husband present",5354,5262,6
Households,"Family households_Female householder, no husband present_With related children under 18 years",2631,2575,6
Households,"Family households_Male householder, no wife present",1502,1461,6
Households,"Family households_Male householder, no wife present_With related children under 18 years",493,611,6
Households,"Nonfamily households_Male householder, no wife present",61395,55032,6
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",17705,21678,6
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",2.6547226050447095,2.7308618485596217,6
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",1.6966067648710528,1.789227351159932,6
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",99517,99714,6
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",92596,88669,6
Housing Units,"Renter occupied_Male householder, no wife present",64736,59556,6
Housing Units,"Owner occupied_Male householder, no wife present",27860,29113,6
Housing Units,Owner occupied_1  person household,51441,45652,6
Housing Units,Owner occupied_2  person household,26954,26866,6
Housing Units,Owner occupied_3  person household,7875,8348,6
Housing Units,Owner occupied_4  person household,4471,5600,6
Housing Units,Owner occupied_5 persons and over,1855,2203,6
Housing Units,Householder Age - Owner occupied_15 to 24 years,3140,2909,6
Housing Units,Householder Age - Owner occupied_25 to 44 years,44186,35883,6
Housing Units,Householder Age - Owner occupied_45 to 64 years,28698,29558,6
Housing Units,Householder Age - Owner occupied_65 years and over,16572,20319,6
Population,White Nonhispanic,21624,30254,7
Population,Black Nonhispanic,51398,40980,7
Population,Asian and Pacific Islander Nonhispanic,3499,4741,7
Population,Other Nonhispanic,913,888,7
Population,Two or More Races Nonhispanic,3199,2694,7
Population,Hispanic Origin,81226,76660,7
Population,Female,85533,82013,7
Population,Male,76326,74204,7
Population,Under 5 years,10798,8828,7
Population,5 to 9 years,11978,7837,7
Population,10 to 14 years,11211,8277,7
Population,15 to 19 years,10632,9983,7
Population,20 to 24 years,12685,13858,7
Population,25 to 44 years,54248,51478,7
Population,45 to 64 years,32361,37495,7
Population,65 years and over,17946,18461,7
Population,18 years and over,121626,125430,7
Population,In households,158866,154129,7
Population,In households_In family households,124440,113958,7
Population,In households_In family households_Householder,34872,32927,7
Population,In households_In family households_Spouse,15422,14763,7
Population,In households_In family households_Own child under 18 years,31854,23553,7
Population,In households_In family households_Other relatives,35180,36638,7
Population,In households_In family households_Nonrelatives,7112,6077,7
Population,In households_In nonfamily households,34426,40171,7
Population,In households_In nonfamily households_Householder,27182,29408,7
Population,In households_In nonfamily households_Householder 65 years and over living alone,7199,6521,7
Population,In households_In nonfamily households_Nonrelatives,7244,10763,7
Population,In group quarters_In nonfamily households,2993,2088,7
Households,In group quarters_In nonfamily households,62054,62335,7
Households,Family households_In nonfamily households,34872,32927,7
Households,Family households_Married-couple family,15422,14763,7
Households,Family households_Married-couple family_With related children under 18 years,8185,7103,7
Households,"Family households_Female householder, no husband present",15888,14390,7
Households,"Family households_Female householder, no husband present_With related children under 18 years",10896,8207,7
Households,"Family households_Male householder, no wife present",3562,3774,7
Households,"Family households_Male householder, no wife present_With related children under 18 years",1721,1684,7
Households,"Nonfamily households_Male householder, no wife present",27182,29408,7
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",15125,15230,7
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.3645331498050006,3.276368937346251,7
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.560125052373739,2.472591641934708,7
